pair,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,total_trades,avg_trade_duration,profit_factor
XLE-USO,-49.01%,-15.52%,-0.84,-0.14,-53.53%,38.71%,5,201.2,0.28
GDX-GLD,-2.02%,-0.51%,-0.66,-0.05,-2.02%,0.00%,1,1006.0,0.00
XLF-VFH,0.54%,0.13%,0.20,0.08,-1.14%,41.67%,9,111.8,1.17
QQQ-SPY,-0.40%,-0.10%,-0.07,-0.02,-2.44%,35.00%,4,251.5,0.92
KO-PEP,-1.73%,-0.44%,-0.15,-0.03,-4.17%,38.89%,4,251.5,0.83
WMT-TGT,6.69%,1.64%,0.33,0.13,-5.72%,35.29%,7,143.7,1.42
COST-WMT,0.06%,0.02%,0.02,0.00,-4.92%,35.00%,4,251.5,1.03
PG-CL,-0.60%,-0.15%,-0.09,-0.02,-2.75%,39.13%,3,335.3,0.90
JPM-BAC,0.82%,0.20%,0.10,0.03,-5.80%,43.59%,7,143.7,1.09
GS-MS,-6.80%,-1.75%,-1.08,-0.19,-7.14%,25.00%,2,503.0,0.18
BLK-BEN,2.05%,0.51%,0.18,0.03,-4.84%,41.18%,3,335.3,1.27
INTC-AMD,38.69%,8.54%,0.81,0.49,-5.31%,48.28%,6,167.7,3.22
NVDA-AMD,-3.47%,-0.88%,-0.05,-0.02,-16.08%,37.29%,10,100.6,0.96
NVDA-TSM,21.56%,5.01%,0.68,0.20,-6.75%,50.00%,5,201.2,2.40
TSM-UMC,3.02%,0.75%,0.13,0.04,-11.75%,35.56%,8,125.8,1.11
CVX-XOM,4.28%,1.06%,0.44,0.10,-2.23%,50.00%,3,335.3,1.62
PSX-VLO,-4.98%,-1.27%,-0.66,-0.06,-5.48%,33.33%,3,335.3,0.15
V-MA,4.42%,1.09%,0.44,0.16,-2.63%,44.44%,5,201.2,1.54
PYPL-SQ,-9.80%,-2.55%,-0.33,-0.11,-13.39%,33.33%,7,143.7,0.76
JNJ-PFE,-13.04%,-3.44%,-0.81,-0.14,-16.02%,23.81%,4,251.5,0.27
AAL-UAL,0.00%,0.00%,0.00,0.00,0.00%,0.00%,0,0.0,0.00
